eng_title,episode_num,jp_title,show_type
Frieren: Beyond Journey's End,28,Sousou no Frieren,TV
The Apothecary Diaries,24,Kusuriya no Hitorigoto,TV
Attack on Titan: The Last Attack,1,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,Movie
Violet Evergarden: The Movie,1,Violet Evergarden Movie,Movie
Your Name.,1,Kimi no Na wa.,Movie
Owarimonogatari Second Season,7,Owarimonogatari 2nd Season,TV Special
Attack on Titan: Final Season - The Final Chapters,2,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV Special
Gintama: The Movie: The Final Chapter: Be Forever Yorozuya,1,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie
N/A,74,Monster,TV
Code Geass: Lelouch of the Rebellion R2,25,Code Geass: Hangyaku no Lelouch R2,TV
A Silent Voice,1,Koe no Katachi,Movie
March Comes In Like a Lion 2nd Season,22,3-gatsu no Lion 2nd Season,TV
N/A,24,Clannad: After Story,TV
Fruits Basket: The Final Season,13,Fruits Basket: The Final,TV
Kingdom: Season 4,26,Kingdom 4th Season,TV
Kaguya-sama: Love is War -The First Kiss That Never Ends-,1,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie
Gintama. Silver Soul Arc - Second Half War,14,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,TV
N/A,201,Gintama,TV
Tomorrow's Joe 2,47,Ashita no Joe 2,TV
N/A,26,Cowboy Bebop,TV
N/A,12,Bocchi the Rock!,TV
Jujutsu Kaisen Season 2,23,Jujutsu Kaisen 2nd Season,TV
The Dangers in My Heart Season 2,13,Boku no Kokoro no Yabai Yatsu 2nd Season,TV
Haikyu!! 3rd Season,10,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV
N/A,24,Vinland Saga,TV
N/A,26,Monogatari Series: Second Season,TV
Spirited Away,1,Sen to Chihiro no Kamikakushi,Movie
Attack on Titan: Final Season Part 2,12,Shingeki no Kyojin: The Final Season Part 2,TV
Solo Leveling Season 2: Arise from the Shadow,13,Ore dake Level Up na Ken Season 2: Arise from the Shadow,TV
Fighting Spirit,75,Hajime no Ippo,TV
Attack on Titan: Final Season,16,Shingeki no Kyojin: The Final Season,TV
N/A,13,Mob Psycho 100 II,TV
Rascal Does Not Dream of a Dreaming Girl,1,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie
Delicious in Dungeon,24,Dungeon Meshi,TV
Kizumonogatari Part 3: Cold-Blooded,1,Kizumonogatari III: Reiketsu-hen,Movie
Natsume's Book of Friends Season 6,11,Natsume Yuujinchou Roku,TV
